year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12480	331	Kent St.	-	Totals	-	-	-	-	-	7325:00	986	2,303	42.81	257	803	32.00	543	755	71.92	2,772	77.00	539	913	1,452	40.33	449	465	232	135	686	""	""	13
2017	12480	331	Kent St.	-	Opponent Totals	-	-	-	-	-	7325:00	931	2,139	43.53	265	761	34.82	501	713	70.27	2,628	73.00	386	853	1,239	34.42	483	503	212	86	705	""	""	21
2017	12480	334	Kentucky 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	57	64	121	3.18	""	11	""	""	2	""	""	""
2017	12480	334	Kentucky 	-	Totals	-	-	-	-	-	7625:00	1,134	2,396	47.33	267	756	35.32	690	981	70.34	3,225	84.87	470	1,041	1,511	39.76	585	443	229	201	718	""	""	11
2017	12480	334	Kentucky 	-	Opponent Totals	-	-	-	-	-	7625:00	979	2,309	42.40	235	768	30.60	523	774	67.57	2,716	71.47	398	933	1,331	35.03	431	544	182	127	868	""	""	31
2017	12480	361	LIU Brooklyn	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	56	53	109	3.41	""	6	""	""	""	""	""	""
2017	12480	361	LIU Brooklyn	-	Totals	-	-	-	-	-	6470:00	803	1,846	43.50	184	534	34.46	488	710	68.73	2,278	71.19	423	819	1,242	38.81	350	460	186	107	641	""	""	24
2017	12480	361	LIU Brooklyn	-	Opponent Totals	-	-	-	-	-	6475:00	766	1,796	42.65	222	633	35.07	464	659	70.41	2,218	69.31	330	728	1,058	33.06	388	434	198	124	642	""	""	11
2017	12480	365	LSU	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	46	39	85	2.74	""	7	""	""	2	""	""	""
2017	12480	365	LSU	-	Totals	-	-	-	-	-	6200:00	853	1,893	45.06	196	584	33.56	417	599	69.62	2,319	74.81	355	761	1,116	36.00	397	451	186	110	595	""	""	10
