game_id	period_id	category	team_value	opponent_value
4229327	1st Half	Time of Largest Lead	-	-
4229327	1st Half	Bench Pts	4	14
4229327	1st Half	Times Tied Score	3	2
4229327	1st Half	2nd Chance Pts	8	10
4229327	1st Half	Pts off TO	8	10
4229327	1st Half	Fastbreak Pts	""	""
4229327	1st Half	Pts in Paint	""	""
4229327	2nd Half	Time of Possession	573	627
4229327	2nd Half	Scoring Time of Possession	222	223
4229327	2nd Half	Times Took Lead	0	0
4229327	2nd Half	Largest Lead	0	0
4229327	2nd Half	Time of Largest Lead	-	-
4229327	2nd Half	Bench Pts	0	1
4229327	2nd Half	Times Tied Score	0	0
4229327	2nd Half	2nd Chance Pts	4	1
4229327	2nd Half	Pts off TO	2	2
4229327	2nd Half	Fastbreak Pts	""	""
4229327	2nd Half	Pts in Paint	""	""
4229327	Game Stats	Time of Possession	1,147	1,253
4229327	Game Stats	Scoring Time of Possession	484	480
4229327	Game Stats	Times Took Lead	1	2
4229327	Game Stats	Largest Lead	4	11
4229327	Game Stats	Time of Largest Lead		
4229327	Game Stats	Bench Pts	4	15
4229327	Game Stats	Times Tied Score	3	2
4229327	Game Stats	2nd Chance Pts	12	11
4229327	Game Stats	Pts off TO	10	12
4229327	Game Stats	Fastbreak Pts		
4229327	Game Stats	Pts in Paint		
4229337	1st Half	Time of Possession	563	636
4229337	1st Half	Scoring Time of Possession	183	214
4229337	1st Half	Times Took Lead	1	1
4229337	1st Half	Largest Lead	0	0
4229337	1st Half	Time of Largest Lead	-	-
4229337	1st Half	Bench Pts	5	16
4229337	1st Half	Times Tied Score	0	0
4229337	1st Half	2nd Chance Pts	2	4
4229337	1st Half	Pts off TO	11	6
4229337	1st Half	Fastbreak Pts	4	2
4229337	1st Half	Pts in Paint	14	16
4229337	2nd Half	Time of Possession	645	555
4229337	2nd Half	Scoring Time of Possession	221	234
4229337	2nd Half	Times Took Lead	0	0
4229337	2nd Half	Largest Lead	0	0
4229337	2nd Half	Time of Largest Lead	-	-
4229337	2nd Half	Bench Pts	1	14
4229337	2nd Half	Times Tied Score	0	0
4229337	2nd Half	2nd Chance Pts	2	4
4229337	2nd Half	Pts off TO	8	5
4229337	2nd Half	Fastbreak Pts	2	2
4229337	2nd Half	Pts in Paint	8	16
4229337	Game Stats	Time of Possession	1,191	1,208
4229337	Game Stats	Scoring Time of Possession	448	404
4229337	Game Stats	Times Took Lead	1	1
4229337	Game Stats	Largest Lead	1	18
4229337	Game Stats	Time of Largest Lead		
4229337	Game Stats	Bench Pts	30	6
4229337	Game Stats	Times Tied Score		
4229337	Game Stats	2nd Chance Pts	8	4
4229337	Game Stats	Pts off TO	11	19
4229337	Game Stats	Fastbreak Pts	4	6
4229337	Game Stats	Pts in Paint	32	22
4231611	1st Half	Time of Possession	626	574
4231611	1st Half	Scoring Time of Possession	199	307
4231611	1st Half	Times Took Lead	0	1
4231611	1st Half	Largest Lead	0	0
4231611	1st Half	Time of Largest Lead	-	-
4231611	1st Half	Bench Pts	2	11
4231611	1st Half	Times Tied Score	0	1
4231611	1st Half	2nd Chance Pts	4	15
4231611	1st Half	Pts off TO	6	20
4231611	1st Half	Fastbreak Pts	0	10
4231611	1st Half	Pts in Paint	8	30
4231611	2nd Half	Time of Possession	645	555
4231611	2nd Half	Scoring Time of Possession	146	262
4231611	2nd Half	Times Took Lead	0	0
4231611	2nd Half	Largest Lead	0	0
4231611	2nd Half	Time of Largest Lead	-	-
4231611	2nd Half	Bench Pts	2	25
4231611	2nd Half	Times Tied Score	0	0
4231611	2nd Half	2nd Chance Pts	8	6
4231611	2nd Half	Pts off TO	8	18
4231611	2nd Half	Fastbreak Pts	2	14
4231611	2nd Half	Pts in Paint	8	28
4231611	Game Stats	Time of Possession	1,271	1,129
4231611	Game Stats	Scoring Time of Possession	345	569
4231611	Game Stats	Times Took Lead	1	
4231611	Game Stats	Largest Lead	2	41
4231611	Game Stats	Time of Largest Lead		
4231611	Game Stats	Bench Pts	4	36
4231611	Game Stats	Times Tied Score	1	
4231611	Game Stats	2nd Chance Pts	12	21
4231611	Game Stats	Pts off TO	14	38
4231611	Game Stats	Fastbreak Pts	2	24
4231611	Game Stats	Pts in Paint	16	58
4231633	1st Half	Time of Possession	579	621
4231633	1st Half	Scoring Time of Possession	254	186
4231633	1st Half	Times Took Lead	0	0
4231633	1st Half	Largest Lead	0	""
4231633	1st Half	Time of Largest Lead	-	""
4231633	1st Half	Bench Pts	9	16
4231633	1st Half	Times Tied Score	0	1
4231633	1st Half	2nd Chance Pts	7	11
4231633	1st Half	Pts off TO	16	1
4231633	1st Half	Fastbreak Pts	""	""
